./checkpoint.pth.tar
Loading checkpoint for epoch 00025 with error 4.51077...
Loading iTracker dataset...
	Reading metadata from ./metadata.mat...
	Reading metadata from ../models/mean_images/mean_face_224.mat...
	Reading metadata from ../models/mean_images/mean_left_224.mat...
	Reading metadata from ../models/mean_images/mean_right_224.mat...
Loaded iTracker dataset split "train" with 10298 records...
Loading iTracker dataset...
	Reading metadata from ./metadata.mat...
	Reading metadata from ../models/mean_images/mean_face_224.mat...
	Reading metadata from ../models/mean_images/mean_left_224.mat...
	Reading metadata from ../models/mean_images/mean_right_224.mat...
Loaded iTracker dataset split "test" with 1926 records...
Epoch (train): [24][0/103]	Time 20.333 (20.333)	Data 5.329 (5.329)	Loss 293.0282 (293.0282)	
Epoch (train): [24][37/103]	Time 14.780 (14.975)	Data 0.000 (0.141)	Loss 815.9922 (477.7241)	
Epoch (train): [24][38/103]	Time 14.951 (14.974)	Data 0.000 (0.137)	Loss 805.1721 (486.1201)	
Epoch (train): [24][39/103]	Time 15.092 (14.977)	Data 0.000 (0.134)	Loss 846.9307 (495.1404)	
Epoch (train): [24][40/103]	Time 14.798 (14.973)	Data 0.000 (0.130)	Loss 857.2361 (503.9720)	
Epoch (train): [24][41/103]	Time 15.082 (14.976)	Data 0.000 (0.127)	Loss 896.1777 (513.3103)	
Epoch (train): [24][42/103]	Time 15.452 (14.987)	Data 0.000 (0.124)	Loss 931.3915 (523.0331)	
Epoch (train): [24][43/103]	Time 15.557 (15.000)	Data 0.000 (0.121)	Loss 982.0758 (533.4659)	
Epoch (train): [24][44/103]	Time 14.685 (14.993)	Data 0.000 (0.119)	Loss 986.8247 (543.5405)	
Epoch (train): [24][45/103]	Time 15.697 (15.008)	Data 0.000 (0.116)	Loss 1020.7751 (553.9152)	
Epoch (train): [24][46/103]	Time 15.001 (15.008)	Data 0.000 (0.114)	Loss 1044.1318 (564.3454)	
Epoch (train): [24][47/103]	Time 15.220 (15.012)	Data 0.000 (0.111)	Loss 1090.0366 (575.2973)	
Epoch (train): [24][48/103]	Time 14.848 (15.009)	Data 0.000 (0.109)	Loss 1126.1672 (586.5396)	
Epoch (train): [24][49/103]	Time 14.427 (14.997)	Data 0.000 (0.107)	Loss 1180.5945 (598.4207)	
Epoch (train): [24][50/103]	Time 14.385 (14.985)	Data 0.000 (0.105)	Loss 1280.5526 (611.7958)	
Epoch (train): [24][51/103]	Time 15.063 (14.987)	Data 0.000 (0.103)	Loss 1238.5372 (623.8485)	
Epoch (train): [24][52/103]	Time 15.184 (14.990)	Data 0.000 (0.101)	Loss 1296.4723 (636.5396)	
Epoch (train): [24][53/103]	Time 14.735 (14.986)	Data 0.000 (0.099)	Loss 1371.2533 (650.1453)	
Epoch (train): [24][54/103]	Time 15.082 (14.987)	Data 0.000 (0.097)	Loss 1382.3547 (663.4583)	
Epoch (train): [24][55/103]	Time 15.538 (14.997)	Data 0.000 (0.095)	Loss 1418.6957 (676.9446)	
Epoch (train): [24][56/103]	Time 14.936 (14.996)	Data 0.000 (0.094)	Loss 1445.8632 (690.4344)	
Epoch (train): [24][57/103]	Time 15.263 (15.001)	Data 0.000 (0.092)	Loss 1511.9872 (704.5991)	
Epoch (train): [24][58/103]	Time 15.690 (15.012)	Data 0.000 (0.091)	Loss 1581.6118 (719.4637)	
Epoch (train): [24][59/103]	Time 15.183 (15.015)	Data 0.000 (0.089)	Loss 1637.2792 (734.7607)	
Epoch (train): [24][60/103]	Time 15.498 (15.023)	Data 0.000 (0.088)	Loss 1690.0125 (750.4205)	
Epoch (train): [24][61/103]	Time 14.916 (15.021)	Data 0.000 (0.086)	Loss 1762.4287 (766.7432)	
Epoch (train): [24][62/103]	Time 15.340 (15.027)	Data 0.000 (0.085)	Loss 1832.8303 (783.6652)	
Epoch (train): [24][63/103]	Time 15.124 (15.028)	Data 0.000 (0.084)	Loss 1925.4910 (801.5062)	
Epoch (train): [24][64/103]	Time 14.964 (15.027)	Data 0.000 (0.082)	Loss 1952.9900 (819.2214)	
Epoch (train): [24][65/103]	Time 15.530 (15.035)	Data 0.000 (0.081)	Loss 2058.9309 (838.0048)	
Epoch (train): [24][66/103]	Time 14.831 (15.032)	Data 0.000 (0.080)	Loss 2141.8503 (857.4652)	
Epoch (train): [24][67/103]	Time 15.239 (15.035)	Data 0.000 (0.079)	Loss 2127.5029 (876.1423)	
Epoch (train): [24][68/103]	Time 14.903 (15.033)	Data 0.000 (0.078)	Loss 2254.9558 (896.1251)	
Epoch (train): [24][69/103]	Time 15.590 (15.041)	Data 0.000 (0.076)	Loss 2440.3477 (918.1854)	
Epoch (train): [24][70/103]	Time 14.983 (15.040)	Data 0.000 (0.075)	Loss 2495.5928 (940.4025)	
Epoch (train): [24][71/103]	Time 15.345 (15.044)	Data 0.000 (0.074)	Loss 2581.7009 (963.1982)	
Epoch (train): [24][72/103]	Time 15.576 (15.051)	Data 0.000 (0.073)	Loss 2696.9307 (986.9480)	
Epoch (train): [24][73/103]	Time 15.139 (15.053)	Data 0.000 (0.072)	Loss 2807.9778 (1011.5566)	
Epoch (train): [24][74/103]	Time 15.375 (15.057)	Data 0.000 (0.071)	Loss 2897.1418 (1036.6976)	
Epoch (train): [24][75/103]	Time 15.764 (15.066)	Data 0.000 (0.070)	Loss 3040.8506 (1063.0681)	
Epoch (train): [24][76/103]	Time 15.241 (15.069)	Data 0.000 (0.070)	Loss 3143.9851 (1090.0930)	
Epoch (train): [24][77/103]	Time 14.931 (15.067)	Data 0.000 (0.069)	Loss 3309.5815 (1118.5480)	
Epoch (train): [24][78/103]	Time 15.064 (15.067)	Data 0.000 (0.068)	Loss 3426.3550 (1147.7607)	
Epoch (train): [24][79/103]	Time 15.360 (15.070)	Data 0.000 (0.067)	Loss 3484.3508 (1176.9681)	
Epoch (train): [24][80/103]	Time 15.428 (15.075)	Data 0.000 (0.066)	Loss 3733.9885 (1208.5363)	
Epoch (train): [24][81/103]	Time 15.332 (15.078)	Data 0.001 (0.065)	Loss 3856.7656 (1240.8318)	
Epoch (train): [24][82/103]	Time 15.888 (15.088)	Data 0.000 (0.065)	Loss 3944.0994 (1273.4014)	
Epoch (train): [24][83/103]	Time 15.274 (15.090)	Data 0.000 (0.064)	Loss 4206.5352 (1308.3196)	
Epoch (train): [24][84/103]	Time 15.245 (15.092)	Data 0.000 (0.063)	Loss 4387.6499 (1344.5470)	
Epoch (train): [24][85/103]	Time 15.271 (15.094)	Data 0.000 (0.062)	Loss 4556.1646 (1381.8912)	
Epoch (train): [24][86/103]	Time 15.546 (15.099)	Data 0.000 (0.062)	Loss 4863.2124 (1421.9065)	
Epoch (train): [24][87/103]	Time 15.098 (15.099)	Data 0.000 (0.061)	Loss 5045.8379 (1463.0875)	
Epoch (train): [24][88/103]	Time 15.935 (15.108)	Data 0.000 (0.060)	Loss 5332.1006 (1506.5596)	
Epoch (train): [24][89/103]	Time 15.556 (15.113)	Data 0.000 (0.060)	Loss 5516.2217 (1551.1113)	
Epoch (train): [24][90/103]	Time 15.256 (15.115)	Data 0.000 (0.059)	Loss 5715.3452 (1596.8721)	
Epoch (train): [24][91/103]	Time 14.792 (15.111)	Data 0.000 (0.058)	Loss 6072.8589 (1645.5242)	
Epoch (train): [24][92/103]	Time 15.289 (15.113)	Data 0.000 (0.058)	Loss 6404.9858 (1696.7012)	
Epoch (train): [24][93/103]	Time 14.459 (15.106)	Data 0.000 (0.057)	Loss 6704.1748 (1749.9722)	
Epoch (train): [24][94/103]	Time 14.916 (15.104)	Data 0.000 (0.056)	Loss 7022.9487 (1805.4771)	
Epoch (train): [24][95/103]	Time 14.944 (15.103)	Data 0.000 (0.056)	Loss 7446.6606 (1864.2394)	
Epoch (train): [24][96/103]	Time 15.177 (15.103)	Data 0.000 (0.055)	Loss 7739.6274 (1924.8103)	
Epoch (train): [24][97/103]	Time 15.927 (15.112)	Data 0.000 (0.055)	Loss 8159.5601 (1988.4302)	
Epoch (train): [24][98/103]	Time 15.913 (15.120)	Data 0.000 (0.054)	Loss 8599.6396 (2055.2102)	
Epoch (train): [24][99/103]	Time 15.510 (15.124)	Data 0.000 (0.054)	Loss 9017.5898 (2124.8340)	
Epoch (train): [24][100/103]	Time 14.942 (15.122)	Data 0.000 (0.053)	Loss 9580.9365 (2198.6567)	
Epoch (train): [24][101/103]	Time 14.631 (15.117)	Data 0.000 (0.053)	Loss 10029.0049 (2275.4248)	
Epoch (train): [24][102/103]	Time 15.149 (15.118)	Data 0.000 (0.052)	Loss 10527.6973 (2353.9568)	
